FrameIndex,NumFramePresents,NumMisPresented,NumDroppedFrames,ReprojectionFlags,SystemTimeInSeconds,PreSubmitGpuMs,PostSubmitGpuMs,TotalRenderGpuMs,CompositorRenderGpuMs,CompositorRenderCpuMs,CompositorIdleCpuMs,ClientFrameIntervalMs,PresentCallCpuMs,WaitForPresentCpuMs,SubmitFrameMs,WaitGetPosesCalledMs,NewPosesReadyMs,NewFrameReadyMs,CompositorUpdateStartMs,CompositorUpdateEndMs,CompositorRenderStartMs
14758,1,0,0,12,12311.995958,1.153024,0.133120,2.298880,1.012736,0.610300,0.000000,1.268000,0.235200,0.005400,0.010800,-15.677323,-5.893623,-5.105824,5.913589,8.301088,5.923688
14759,1,0,0,12,12312.007085,1.154048,0.152576,2.315264,1.008640,0.681200,0.000000,1.065100,0.299400,0.005000,0.008100,-15.931024,-5.893123,-5.151223,5.912989,8.458989,5.923189
14760,1,0,0,12,12312.018200,1.158144,0.093184,2.260992,1.009664,0.599900,0.000000,1.138500,0.286000,0.011300,0.010000,-15.840223,-5.893322,-4.921623,5.911689,8.398989,5.934588
14761,1,0,0,12,12312.029281,1.157120,0.093184,2.260992,1.010688,0.557300,0.000000,1.420300,0.306300,0.012500,0.009900,-15.525623,-5.891923,-5.018123,5.913889,8.402888,5.922789
14762,1,0,0,12,12312.040382,1.154048,0.139264,2.305024,1.011712,0.626400,0.000000,1.316000,0.282900,0.013300,0.009600,-15.649423,-5.892123,-5.049522,5.912589,8.289689,5.921489
14763,1,0,0,12,12312.051506,1.153024,0.142336,2.307072,1.011712,0.544100,0.000000,1.099100,0.253400,0.012000,0.009400,-15.892222,-5.892623,-5.103023,5.910489,8.324688,5.917089
14764,1,0,0,12,12312.062620,1.154048,0.091136,2.254848,1.009664,0.508700,0.000000,1.244500,0.269400,0.004600,0.009000,-15.736423,-5.893622,-5.101423,5.911489,8.345089,5.920689
14765,1,0,0,12,12312.073725,1.150976,0.095232,2.256896,1.010688,0.547600,0.000000,1.042200,0.236800,0.005000,0.008700,-15.931823,-5.891922,-5.067623,5.911589,8.317489,5.922988
14766,1,0,0,12,12312.084827,1.154048,0.113664,2.276352,1.008640,0.558900,0.000000,1.310400,0.246200,0.005500,0.008700,-15.655523,-5.892323,-5.133923,5.913188,8.299888,5.923188
14767,1,0,0,12,12312.095911,1.155072,0.147456,2.316288,1.013760,0.657600,0.000000,1.132900,0.284900,0.005000,0.008500,-15.815923,-5.893123,-5.151723,5.916488,8.404288,5.925788
14768,1,0,0,12,12312.107049,1.155072,0.147456,2.313216,1.010688,0.619600,0.000000,0.986200,0.271400,0.005600,0.010800,-16.018223,-5.891923,-5.026523,5.913188,8.413589,5.922989
14769,1,0,0,12,12312.118123,1.154048,0.096256,2.263040,1.012736,0.571900,0.000000,1.249100,0.257100,0.005200,0.008600,-15.687622,-5.892123,-5.078323,5.924589,8.334389,5.935989
14770,1,0,0,12,12312.129234,1.155072,0.141312,2.310144,1.013760,0.523000,0.000000,1.078300,0.250600,0.004800,0.009700,-15.898923,-5.890923,-4.974422,5.911688,8.351588,5.920088
14771,1,0,0,12,12312.140333,1.154048,0.145408,2.310144,1.010688,0.583700,0.000000,1.299400,0.268600,0.014600,0.008400,-15.662422,-5.893323,-5.069623,5.912389,8.234388,5.921288
14772,1,0,0,12,12312.151441,1.156096,0.151552,2.317312,1.009664,0.528100,0.000000,1.142600,0.245800,0.010600,0.009100,-15.832422,-5.893223,-5.147423,5.911589,8.322089,5.920289
14773,1,0,0,12,12312.162543,1.166336,0.131072,2.308096,1.010688,0.522000,0.000000,1.156200,0.244800,0.005400,0.008800,-15.813023,-5.895623,-5.099123,5.912088,8.299289,5.920488
14774,1,0,0,12,12312.173675,1.158144,0.136192,2.305024,1.010688,0.751700,0.000000,1.032000,0.328400,0.006300,0.008600,-15.971623,-5.894023,-5.095823,5.912689,8.527589,5.922089
14775,1,0,0,12,12312.184780,1.159168,0.086016,2.253824,1.008640,0.823400,0.000000,1.190400,0.467100,0.005400,0.015900,-15.783323,-5.891922,-4.901122,5.904189,8.731588,5.912189
14776,1,0,0,12,12312.195861,1.159168,0.095232,2.266112,1.011712,0.678000,0.000000,1.430100,0.318800,0.005900,0.020700,-15.515523,-5.728023,-4.242123,5.794689,8.449988,5.803889
14777,1,0,0,12,12312.206973,1.161216,0.087040,2.260992,1.012736,0.793100,0.000000,1.811800,0.338000,0.005000,0.014200,-14.914022,-5.890823,-4.851823,5.793589,8.439989,5.805688
14778,1,0,0,12,12312.218078,1.161216,0.089088,2.262016,1.011712,0.658300,0.000000,1.504100,0.293500,0.004800,0.014300,-15.463022,-5.891723,-4.858423,5.790088,8.395389,5.798289
14779,1,0,0,12,12312.229190,1.155072,0.090112,2.257920,1.012736,0.637000,0.000000,1.364500,0.389100,0.004600,0.011400,-15.606723,-5.892523,-4.965623,5.790389,8.460289,5.799389
14780,1,0,0,12,12312.240295,1.156096,0.089088,2.253824,1.008640,0.599900,0.000000,1.397600,0.332000,0.005900,0.012200,-15.571822,-5.892922,-4.967622,5.790789,8.435888,5.800788
14781,1,0,0,12,12312.251390,1.155072,0.092160,2.255872,1.008640,0.733400,0.000000,1.267400,0.280700,0.005300,0.012200,-15.694622,-5.893023,-4.966723,5.790288,8.272089,5.799189
14782,1,0,0,12,12312.262497,1.157120,0.092160,2.256896,1.007616,0.587700,0.000000,1.391100,0.290700,0.005000,0.011000,-15.582822,-5.893122,-4.983222,5.790188,8.342288,5.798688
14783,1,0,0,12,12312.273613,1.158144,0.094208,2.264064,1.011712,0.660000,0.000000,1.197400,0.301400,0.005000,0.010800,-15.786823,-5.893223,-4.992723,5.792688,8.456589,5.804089
14784,1,0,0,12,12312.284710,1.159168,0.088064,2.255872,1.008640,0.687700,0.000000,1.339200,0.288100,0.004400,0.010100,-15.625823,-5.892323,-4.963923,5.792089,8.365089,5.803089
14785,1,0,0,12,12312.295814,1.156096,0.093184,2.262016,1.012736,0.568400,0.000000,1.323400,0.292700,0.013100,0.012100,-15.646722,-5.892423,-4.891123,5.789788,8.361588,5.798189
14786,1,0,0,12,12312.306919,1.161216,0.093184,2.266112,1.011712,0.660900,0.000000,1.265900,0.284300,0.014200,0.010800,-15.704823,-5.892723,-4.983923,5.791589,8.329589,5.801289
14787,1,0,0,12,12312.318024,1.159168,0.144384,2.310144,1.006592,0.522700,0.000000,1.351000,0.286800,0.013400,0.009100,-15.620222,-5.893222,-5.066023,5.790988,8.310188,5.799988
14788,1,0,0,12,12312.329153,1.156096,0.093184,2.260992,1.011712,0.566600,0.000000,1.117200,0.268300,0.011100,0.008700,-15.880423,-5.893223,-5.039223,5.789888,8.305588,5.798089
14789,1,0,0,12,12312.340262,1.165312,0.138240,2.311168,1.007616,0.560700,0.000000,1.350200,0.276800,0.012100,0.009400,-15.625324,-5.891823,-5.047523,5.789888,8.311588,5.798388
14790,1,0,0,12,12312.351365,1.162240,0.132096,2.304000,1.009664,0.632800,0.000000,1.174700,0.255500,0.004700,0.009700,-15.791223,-5.892323,-4.992523,5.789488,8.164388,5.797688
14791,1,0,0,12,12312.362472,1.158144,0.089088,2.257920,1.010688,0.574900,0.000000,1.344700,0.241000,0.012200,0.009400,-15.626123,-5.875423,-5.047223,5.790689,8.262489,5.799689
14792,1,0,0,12,12312.373575,1.156096,0.088064,2.253824,1.009664,0.514500,0.000000,1.071300,0.242900,0.004100,0.008100,-15.852723,-5.891522,-5.118722,5.789489,8.287089,5.797789
14793,1,0,0,12,12312.384685,1.162240,0.139264,2.311168,1.009664,0.529200,0.000000,1.160700,0.238800,0.014400,0.009300,-15.813522,-5.893722,-5.084322,5.790189,8.261489,5.798389
14794,1,0,0,12,12312.395792,1.163264,0.144384,2.316288,1.008640,0.490100,0.000000,1.212800,0.248300,0.011700,0.009100,-15.763523,-5.892623,-5.102123,5.789789,8.275888,5.798089
